频域幅值平均值,重心频率,均方频率,频率方差,均方根频率,频率幅值方差,频域幅值偏度指标,频域幅值峭度指标,频率标准差,频域频率歪度,频域频率峭度,平方根比率
5445.067315858491,2926.8972844534783,1209.302324737414,10029139.826356484,21292.05518497451,423702855.92576957,5.277814900702191,29.137877416672822,398403.6099502381,2.6923541028141034,6.599320283823708,1.1015036905805085
5511.607994783877,3000.8902204636324,1222.7566298957152,10500475.891228188,21319.147121777645,424128211.3118345,5.261492237554713,28.93689969207246,397381.9591457371,2.7311344670043813,6.909200447480648,1.1010931440144542
5969.640294470573,2587.8656011490175,1137.0060941579607,7989831.227762716,21999.75113495605,448352444.7546333,5.066697941683079,26.907315315822665,431566.67785958556,2.766661369133974,7.094467297226656,1.0966837581846804
5942.305269489898,2760.3258477798126,1173.1367334911724,8995648.581387673,21974.246153167576,447556502.08419263,5.086511168393946,27.128822550791302,434020.4364378976,2.652158514671245,6.428781870998476,1.0970176833985328
5880.202480625568,2888.7748395089593,1199.3716577878986,9783512.446884904,22019.049411816122,450261755.78684497,5.102272098633418,27.27337785528701,434579.15042752464,2.663999068722077,6.309011677258587,1.0967442234062272
5994.283759816786,2716.243327522407,1163.3759798537385,8731421.484810643,21965.190097060397,446538138.2067968,5.127604408723391,27.614625398107925,430489.5577823769,2.5968285026220705,5.940485303301749,1.097185296913968
6052.908455022367,2561.8299689124597,1130.288023458464,7840523.805591659,22025.987946060446,448506444.23511887,5.126917835490301,27.547335087285056,426996.0938469609,2.641357366228993,6.203756221986971,1.0966594609791676
5910.333976845093,2835.16217635618,1187.5903137996454,9448515.319671458,21920.402801955992,445572011.2821505,5.142057714775139,27.60983762850769,421088.14415061375,2.695221757425245,6.518698749572954,1.0962212608649626
5862.7173996483025,2874.0580784850504,1196.9306340753697,9692852.78129323,21939.35473071166,446963830.6918611,5.116498337790826,27.39190113143078,431900.78791113204,2.6156981466290237,6.021200460420527,1.0961717754131384
5958.121920948089,2587.1614683643234,1136.1457144604417,7984231.547875876,21944.986807924946,446083229.1751178,5.111345751818104,27.348531227384534,431395.05879453145,2.635327322143133,6.159087085776019,1.095976087518122
5969.9097756725405,2811.862619480416,1183.1732393650498,9306470.305180853,21913.577868527085,444565072.27032954,5.0994233331947925,27.26207689062888,434482.9176131601,2.5563541429050423,5.7763953227259925,1.095938576141366
6006.888063864084,2631.658945200498,1145.0850466641907,8236848.567947727,22028.293556242617,449163012.78820705,5.089903173116594,27.084965923316478,433821.553009662,2.63109069707854,6.132325893622255,1.0950589351530138
5985.724591025243,2731.7401266083702,1166.3988433781583,8822890.381156214,21902.078280382437,443872134.12039566,5.107598280311127,27.350586883422928,429604.95957071823,2.6009059761910445,6.03446705510682,1.0962328974965516
5794.138706074953,2788.337194406168,1179.5031029859624,9166051.87966238,21902.521361706284,446148398.6547641,5.092472282566921,27.165604276591345,438397.37345312926,2.572970599608725,5.863874348243048,1.0959440183396458
5878.41241056715,2752.8892694654146,1171.7389606026263,8951371.521731963,22052.798620583286,451770194.5312901,5.091793950177327,27.082967231804325,442073.8700022584,2.539780853089405,5.604390701623251,1.0947284864508275
5897.7181650010125,2737.059792407074,1168.3589605888485,8856558.9679997,21902.504126240907,444936607.44621706,5.078908249373288,27.06437685425095,439223.2390556481,2.55646766017305,5.769089126744584,1.0958086087329986
6461.425014544265,2922.7762179034166,1200.1374612515506,9982950.745841144,22012.919297539796,442818602.78142166,5.06327575090775,26.982325449820333,426511.7538170741,2.4870724089981673,5.82098292543597,1.0945882200118282
5831.506330066818,2811.197663101932,1184.133546783902,9305004.557648776,21895.032747178073,445385992.92239064,5.084365990753683,27.07516446103492,439877.47187323833,2.5634525429705617,5.727043387427905,1.0955234231668791
5788.821882630822,2710.582764578214,1163.7646427564828,8701607.067358604,21905.267357418856,446330279.2111746,5.086559248567022,27.077072722515336,439163.4296597376,2.5914036709989645,5.8776057063775315,1.0954392957569445
